ItmIID;ItmSID;ItmName255_DE;ItmName255_EN
E0_I_00;0;Zusatzvariable;additional variable
E0_I_0001;00_19_12;Andere;Other
E0_I_0002;00_10_04;Keine;None
E0_I_0003;00_16_01;Alter (in Jahren);Age (in years)
E0_I_0004;00_00;technische Hinweise Softwarefirmen!;technical software company notes!
E0_I_001;00_01;Einschätzungstyp;Assessment type
E0_I_002;00_02;Versorgungsform zu Hause/ vor Eintritt;Type of care at home / before admission
E0_I_0021;00_17_01;0-25%;0-25%
E0_I_0022;00_17_02;25-50%;25-50%
E0_I_0023;00_17_03;50-75%;50-75%
E0_I_0024;00_17_04;75-100%;75-100%
E0_I_0025;00_17_09;n.b.;n/a
E0_I_0026;00_19_99;Beschreibung;Description
E0_I_0027;00_20_04;Keine;None
E0_I_003;00_03;Fremdsprachigkeit;Non-native speaker
E0_I_0030;00_20_99;Beschreibung;Description
E0_I_0031;00_18_04;Keine;None
E0_I_0032;00_18_11;Zahnprothese;Dentures
E0_I_0033;00_18_12;Andere;Other
E0_I_0034;00_18_99;Beschreibung;Description
E0_I_0035;00_19_04;Keine;None
E0_I_0036;00_19_11;Hörgerät;Hearing aid
E0_I_0037;00_01_08;Aufnahmeeinsch. nach interner Verlegung;Admission assessment after internal transfer
E0_I_004;00_04;Ungewollter Gewichtsverlust;Undesired weight loss
E0_I_0044;90_02_04;Risiko unwahrscheinlich;Risk unlikely
E0_I_0045;90_02_02;Risiko erhöht;Increased risk
E0_I_0046;90_02_01;Risiko hoch;High risk
E0_I_0048;90_01_99;SPI-Wert;SPI score
E0_I_0049;90_01_09;ungültig;invalid
E0_I_005;00_05;BMI;BMI
E0_I_0050;90_02_09;ungültig;invalid
E0_I_0058;90_07_04;keine RI;no RI
E0_I_0059;90_07_01;erhöht;increased
E0_I_0060;90_08_04;unwahrscheinlich;unlikely
E0_I_0061;90_08_01;erhöht;increased
E0_I_0062;90_08_09;ungültig;invalid
E0_I_0063;90_09_04;keine Hinweise;no indicators
E0_I_0064;90_09_01;erhöht;increased
E0_I_0065;90_09_09;ungültig;invalid
E0_I_0068;90_11_99;Braden-Wert;Braden score
E0_I_0069;90_11_09;ungültig;invalid
E0_I_0071;00_21;Fremdsprachigkeit Bezugsperson;Non-native speaker, caregiver
E0_I_0072;00_21_04;Nein;No
E0_I_0073;00_21_01;Ja;Yes
E0_I_0074;00_21_99;spricht…;speaks...
E0_I_0075;00_21_09;n.b.;n/a
E0_I_0076;00_03_09;n.b.;n/a
E0_I_008;00_08;Bekannter Diabetes Mellitus;Known diabetes mellitus
E0_I_009;00_10;Hilfsmittel Fortbewegung/Mobilität;Movement/mobility aids
E0_I_01;90;Risikoauswertung;Risk analysis
E0_I_011;00_18;Hilfsmittel Ernährung;Nutrition aids
E0_I_012;00_19;Hilfsmittel Hören;Hearing assistance
E0_I_013;00_20;Hilfsmittel Sehen;Vision aids
E0_I_014;00_14;Körpergewicht;Weight
